"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"AURKA"	0.00337286435951206	0.00284904214516505	1.18385906127642	0.0278663087910284	0.0215505359147525	1.29306801934111	0.015	0
"BTRC"	0.00707138241298864	0.00607043017301406	1.16488983670783	0.0392589903617236	0.0298687835994269	1.31438196105438	0.013	0
"CDK6"	0.00881149970729772	0.00727827368679623	1.21065792335935	0.0251498228031209	0.0203896917930227	1.23345772257956	0.002	0
"CREBBP"	0.0326705929733561	0.0279917851956179	1.16714931702429	0.110202064485139	0.0791679113408753	1.39200419233797	0	0
"CTNNB1"	0.0105475033672018	0.00905794159266473	1.16444815406443	0.0438806215124745	0.0325512668960511	1.34804650315462	0.003	0
"EP300"	0.112052889276284	0.101110450986552	1.10822262370472	0.20497449415353	0.149052677596658	1.37518156304577	0	0
"FOS"	0.00956334949916272	0.00746011398251561	1.28193074818649	0.0363493296345125	0.0272034466651924	1.33620309521376	0	0
"GSK3B"	0.0177903196627716	0.0128903479942155	1.38012718281577	0.0408713668391202	0.0288793611641044	1.4152448389309	0	0
"HDAC2"	0.0252156524355712	0.0228594839448419	1.10307181458753	0.0785475409063233	0.0584691787469431	1.34340078977815	0.005	0
"HDAC3"	0.0127614571467335	0.0115294919642692	1.10685337968769	0.0564449496442816	0.0407067201785491	1.38662484711863	0.009	0
"HIF1A"	0.0195475788298003	0.0157868100679602	1.23822220864447	0.0336535516790989	0.0266857328856769	1.2611065179762	0	0
"JUN"	0.0301416683994881	0.0277453293001983	1.0863690992225	0.0830545519211708	0.0610989774239029	1.35934438550323	0.013	0
"JUND"	0.0027060323990941	0.00201926287891151	1.34010902065054	0.0254878601925693	0.0205670303390191	1.23925816087384	0	0
"KAT2B"	0.00992091554159039	0.00907519500038578	1.09319034369715	0.0555938562760544	0.0412962611969548	1.34622008541911	0.017	0
"KAT5"	0.0150239572516359	0.0125965639802606	1.19270280968518	0.0473057585238809	0.0344116234457804	1.37470289939726	0	0
"KDM1A"	0.00390669350464304	0.00333423439703052	1.17169132083886	0.0313390444433695	0.0237372002772947	1.32025024338469	0.017	0
"MAPK1"	0.0161161086490302	0.0136002737971692	1.18498413262714	0.0279098758046924	0.0210058695791647	1.32867033661751	0	0
"MAPK3"	0.0077210831651261	0.00621424589333944	1.24248111478848	0.0232683636914951	0.019432967666353	1.19736543028283	0.001	0
"MAPK8"	0.0124921800691565	0.0106966423930796	1.16785993306073	0.0377378225124834	0.0288792300939843	1.30674614211216	0.001	0
"NCOR2"	0.0185047528459226	0.0155446543361349	1.19042549585079	0.0681010136613591	0.0473872009322854	1.43711830033331	0	0
"PATZ1"	0.00759430285977696	0.00611145659371698	1.24263385386463	0.0163490539739758	0.0147156063437941	1.11100104148073	0.02	0.017
"PGR"	0.0160851839978234	0.0141808224466067	1.13429133312874	0.0232670283012873	0.0189278129368571	1.22925075278933	0	0
"PIAS1"	0.00811647979413399	0.00624707519918377	1.29924477220868	0.0379525411172444	0.0269218406901315	1.40973054383894	0	0
"RXRA"	0.00301598437498597	0.00267804466798156	1.12618897326276	0.0384228966626581	0.0283401599569706	1.35577557504955	0.024	0
"SMAD2"	0.0124953250004701	0.00969324092092264	1.28907607913667	0.0495317052681761	0.0356460821879086	1.3895413528777	0	0
"SMAD3"	0.0299077716167636	0.0258272849768476	1.15799131203972	0.0764384058631218	0.0561608287190115	1.36106264110818	0.027	0
"SMAD4"	0.0122781055182765	0.0105188885871066	1.16724361291612	0.0631648761603762	0.0452303846041725	1.39651423955721	0.007	0
"SMARCA4"	0.00764445184145384	0.00695886848352493	1.09851937273308	0.0545035525532588	0.0380640751998331	1.43188957743279	0.048	0
"TRIM28"	0.00989639665792827	0.00798937692937902	1.23869442453474	0.0334752425275039	0.0259939429234699	1.28780934181706	0.016	0
"TWIST1"	0.00494404802445495	0.00407378453030491	1.21362531269785	0.0200905845626347	0.0172759320521985	1.16292333761975	0.034	0
"UBA52"	0.00203027865591669	0.0016241834405738	1.25003038770019	0.0249741374362541	0.01891235323471	1.32051982777156	0	0
"UBE2I"	0.0221905344581785	0.0178371261133055	1.24406444834326	0.076384503587457	0.0550552100293713	1.38741644154489	0	0
"XRCC5"	0.013239596433041	0.0107425232302242	1.23244754973313	0.0305279436120727	0.0244077375330813	1.2507486025977	0	0
"XRCC6"	0.00885890703991154	0.00721189830394526	1.22837381595707	0.0302108639481069	0.0243044421165892	1.2430182023181	0.008	0
