Row.names Gene.name LHSAR_Rep1_counts_rld LHSAR_Rep2_counts_rld LNCaP_Rep1_counts_rld LNCaP_Rep2_counts_rld baseMean log2FoldChange lfcSE stat pvalue padj
1 A1BG 6.25493517680347 6.10598285489472 8.22354896796235 8.32188059841187 193.54098174713 2.16983823934558 0.224607606593732 9.6605732648688 4.43375860486088e-22 1.81123263289148e-21
2 A1CF 0.144711629251028 0.106222443117667 1.04864677190384 1.02059370447782 2.04542860458789 4.926140559533 2.4229448859231 2.03312117751957 0.0420402819218525 0.0555168687939408
3 A2M 0.842880960932166 1.0175614031582 2.75589248866629 2.82025290413472 5.94079647991148 5.01185681653013 1.77875442478321 2.8176215596152 0.00483807968626979 0.0071101462193748
4 A2ML1 6.72523738716682 6.76543083548301 3.66518664896974 3.45563041011339 63.1045628563634 -3.72693452258926 0.520851132773015 -7.15546974573528 8.33868788809645e-13 2.33244799729597e-12
5 A4GALT 8.90958649092632 8.7636689270711 5.58447534875605 5.62637143373939 257.284169158999 -3.3597490249044 0.246379467831175 -13.6364813776065 2.43005643818526e-42 1.75497846135668e-41
6 A4GNT -0.00354677035289269 -0.064096667093642 0.101847517573779 0.0888923385003391 1.05258753485298 0.88987073557338 2.69174897342697 0.330592021900337 0.740952673290097 0.770748377333999
7 AAAS 9.12145971644038 9.14180850705766 9.9052176912159 9.95585545191499 769.014624781255 0.8063019350344 0.113025019549205 7.13383583785519 9.76097390987579e-13 2.72152577390978e-12
8 AACS 9.53570786559194 9.40310595280508 10.6859626940115 10.635815711075 1165.63777990644 1.20036288543055 0.0989699644119905 12.1285573109201 7.4551243883899e-34 4.30050485360494e-33
9 AADAT 7.49896677350451 7.7158156802028 8.90541296126303 8.99396431501941 346.355831209274 1.36002802616352 0.168353064021755 8.07842752412145 6.56072469805013e-16 2.108323234589e-15
10 AAED1 7.87955176268779 7.69896253936558 7.3665734251218 7.57880737061598 199.913986410549 -0.322227839694186 0.216708149024513 -1.48692073253663 0.137035747798285 0.166326155812251
