protein	Node_druggability
ENHA_NR3C1	False
ENHA_MAX	False
ENHA_ESR2	True
ENHA_SP1	False
ENHA_NR2F2	False
ENHA_MEF2A	False
ENHA_THAP11	False
ENHA_THRB	False
ENHA_PBX1	False
ENHA_OSR2	False
ENHA_EGR1	False
ENHA_GLI3	False
ENHA_AR	True
CDKN2C	False
ENHA_REL	False
C1orf109	False
CHCHD2	False
ENHA_GLIS3	False
ENHA_RARA	False
ENHA_TFAP4	False
ENHA_ELF3	False
ENHA_STAT3	False
EED	False
CCND1	False
CLU	False
ENHA_SOX4	False
ENHA_NFKB2	True
ENHA_CEBPB	False
ELF1	False
ENHA_HMBOX1	False
ENHA_TCF7L2	False
ACTL6A	False
ENHA_TEAD2	False
CHAF1A	False
ATF6	False
BAZ1A	False
CCNG1	False
ENHA_ZNF148	False
ENHA_KLF10	False
CTBP2	False
DYNLL2	False
ACTR5	False
BYSL	False
EIF1AD	False
CDKN2A	False
ENHA_STAT1	False
ENHA_NFE2L2	False
E2F1	False
ENHA_SMAD3	False
ENHA_RFX1	False
ENHA_RUNX2	False
ENHA_SMAD5	False
ENHA_SREBF2	False
ENHA_TCF3	False
ENHA_TCF4	False
ENHA_TP53	False
ENHA_ETS2	False
ENHA_ETV1	False
CDKN1A	False
ENHA_RBPJ	False
ENHA_IRF1	False
ENHA_NFE2L1	False
ENHA_MAZ	False
ATR	False
CREM	False
ACTB	False
ENHA_KLF4	False
CSNK2B	False
ENHA_IRF5	False
ENHA_ETV6	False
CDK2	False
ENHA_KLF2	False
ENHA_RFX3	False
ENHA_HIC2	False
ENHA_YY1	False
ENHA_GABPA	False
ENHA_POU2F2	False
ENHA_KLF5	False
ENHA_TEAD3	False
ENHA_TEAD1	False
ENHA_TP73	False
ENHA_CREB3L1	False
CRK	False
APPL1	False
ENHA_PBX2	False
ENHA_MTF1	False
ENHA_TFAP2A	False
DDX5	False
DROSHA	False
CCNA2	False
ENHA_JUN	False
BHLHE40	False
CCNDBP1	False
ENHA_HSF1	False
ENHA_LEF1	False
ENHA_IRF7	False
ENHA_IRF3	False
AES	False
ENHA_SIX2	False
ENHA_ATF2	False
ENHA_REST	False
PROM_GLIS3	False
ITCH	False
BPTF	False
ENHA_TBX6	False
ENHA_CREB1	False
DAXX	False
AKT1	True
ATM	False
ENHA_NR4A1	False
CHD4	False
ENHA_FOXK2	False
ENHA_MGA	False
CHD8	False
CHD3	False
ENHA_TWIST1	False
ENHA_MXI1	False
ENHA_E2F6	False
ENHA_CEBPA	False
ENHA_FOXK1	False
ENHA_CEBPD	False
ENHA_PPARG	False
ENHA_ELF1	False
ENHA_FOXO3	False
BCL6	False
CEP70	False
CSNK2A1	False
ENHA_KLF11	False
CTR9	False
ENHA_ZBTB7C	False
BAP1	False
ATP5O	False
ENHA_NFIB	False
ENHA_ATF3	False
ENHA_ATF7	False
ENHA_FOSL2	False
ENHA_NFATC2	False
ENHA_SREBF1	False
ENHA_ESRRA	True
ENHA_CLOCK	False
ENHA_VDR	False
HEY1	False
PROM_HES1	False
BTRC	False
PROM_GLI3	False
BCOR	False
ENHA_JUND	False
ENHA_NFKB1	True
PROM_TCF3	False
NEDD9	False
MAPKAPK2	False
MAPKAPK3	False
MEN1	False
ENHA_ATF4	False
PROM_TCF4	False
POLR1A	False
HAT1	False
MAGOHB	False
MRPL10	False
NOL9	False
