"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ACTL6A"	0.00109779909113357	0.000773697857934419	1.41889896666435	0.0120583155867228	0.0106581187702373	1.13137372989271	0	0
"ADNP"	0.000798422207244966	0.000439217881884557	1.81782718822641	0.0084886334538282	0.00570896143706532	1.48689626780729	0	0
"AGTRAP"	0.0116638882049969	0.00858581589662231	1.35850667489685	0.0105478401754969	0.00775992441805856	1.3592709937935	0.001	0
"AHCY"	0.000622543578396283	0.000275714250113102	2.25793036863675	0.00852340242005167	0.00597563740984192	1.42635870208818	0.042	0.003
"AKAP8L"	9.15137984404172e-05	5.92423719271784e-05	1.54473555773404	0.00732974531546007	0.00506230172139296	1.44790763547045	0.003	0
"AKT1"	0.0019263736965929	0.0014962307928187	1.28748432784482	0.0194903902306914	0.0179418087461577	1.08631133607783	0.019	0.026
"ANKRA2"	0.00420024166996792	0.00142017636906768	2.95754933080973	0.00821808488208266	0.00610901776293152	1.34523833470392	0.003	0.019
"ANKRD17"	0.00028127453138767	0.000139282752213537	2.01944983795583	0.00883407437583845	0.00625606717633732	1.41208112490417	0.001	0.001
"APEX1"	0.000141490772475577	7.36547582173125e-05	1.92099975480362	0.00943744915119469	0.00669885831659255	1.40881456289632	0	0
"APLP2"	8.47595727924728e-05	3.57503440266858e-05	2.37087432583038	0.00960825432729898	0.00584989766226024	1.64246536982779	0.001	0
"APPL1"	0.00113352265239898	0.000439541781376876	2.57887350059918	0.0103418607945466	0.00675090021740808	1.53192321934766	0	0
"AQP1"	0.000593592869730471	0.000410265287454776	1.44685131275188	0.0105603727321073	0.00805188578846274	1.31154030366885	0.01	0
"ARID2"	0.000200520618005428	0.000127966700894169	1.56697497555448	0.0105318861413594	0.00789227904221685	1.33445435532917	0.004	0
"ARID4B"	0.000377923493877839	0.000218542336820164	1.72929190461081	0.0122815907401036	0.00744115967878384	1.65049417970706	0.032	0
"ARIH2"	0.000423427501349309	0.000228138956727829	1.85600700302343	0.00809541089925664	0.00600645101697393	1.34778605142694	0.005	0.003
"ARNT"	0.00175957949014743	0.00062825415305901	2.80074470113715	0.0115166858996231	0.00756098664027494	1.52317236460616	0	0
"ARNTL"	0.00736046392404076	0.00267701757735836	2.74950152972247	0.0119637372619766	0.00547533873826852	2.18502230343468	0.02	0
"ATAD2"	0.00121895717925087	0.000411303049475433	2.96364731748404	0.0152457961375495	0.010510440967687	1.45053820143424	0	0
"ATF2"	0.00384186863367957	0.00241291663418937	1.59220943618313	0.0247339938249999	0.01866811393739	1.32493265832606	0.001	0
