"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ABL1"	0.000267744096825244	0.000609434255895977	0.43933220726428	0.00650552787440869	0.00905794276775944	0.7182125170369	0.996	0.998
"ACLY"	0.00022872397050048	0.0018743389895152	0.122029137621279	0.00311234123430218	0.0062669447597667	0.496628158314585	0.778	0.948
"ACTB"	5.8125171981507e-05	0.000291518025994596	0.199387917035993	0.00482215714728889	0.00753094757750694	0.640312138367749	1	1
"ACTL6A"	0.00048676546116378	0.000850473328676808	0.572346533101872	0.0101604603094957	0.0108835501363804	0.933561216898558	1	0.94
"ACTN4"	0.000100473559460203	0.000473924981031818	0.212003088002354	0.010318664643377	0.0148059789205905	0.696925525743317	1	1
"ACTR5"	0.000811464747830995	0.00128643612295783	0.630785107281687	0.0161505041982161	0.015821622289499	1.02078686386891	1	0.227
"ADNP"	0.000260938378629807	0.000546075128892387	0.47784336774149	0.00460833540431268	0.00644575583047502	0.714941044233297	0.995	1
"AES"	0.00513066811574283	0.00491953748288231	1.04291676475586	0.0150787402267861	0.0141816501204236	1.06325710328099	0.332	0.067
"AGTRAP"	0.00588693066748785	0.00942493788559783	0.624612144816744	0.00492866590131912	0.00858700178994817	0.573968193076255	1	1
"AHCY"	7.40510100287906e-05	0.000414102884322474	0.178822734234145	0.00467474965752373	0.00694444225854619	0.673164162574862	0.998	0.966
"AKAP8L"	2.65974881047251e-05	7.76218821448558e-05	0.342654511457087	0.00384199173940266	0.00587954828939691	0.653450154722132	1	0.999
"AKT1"	0.00128773150000796	0.00159088986685169	0.809441009613278	0.0207279572919547	0.0180259512036925	1.14989534020866	0.871	0.009
"ANKRA2"	4.9944049665316e-05	0.00201567434207696	0.0247778366885662	0.00326854831252018	0.00702770082827345	0.46509497094275	0.994	0.997
"ANKRD17"	4.08646443711401e-05	0.000181899079778329	0.224655586058707	0.00406309895259849	0.00711575467758116	0.571000426054549	1	1
"ANKRD28"	0.00016137451013648	0.000586840000166663	0.274988940921971	0.00574735156784155	0.0104701807076796	0.548925728056063	0.933	0.932
"ANXA1"	0.00208693464527729	0.00300495177517307	0.694498548202857	0.00424501470715898	0.00694403034999959	0.611318570512761	0.808	1
"APEX1"	2.44267414447057e-05	0.000100336296247904	0.243448705584606	0.00440819977228475	0.00783841070879324	0.562384383270396	1	1
"APLP2"	1.39662275509007e-05	4.63864118411502e-05	0.301084455480797	0.0044547675977591	0.00661820454811745	0.673108176903698	0.997	0.996
