"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ABL1"	0.000987796576647959	0.000533884560693731	1.85020629808889	0.0113861553891201	0.00854103099982738	1.33311252345885	0	0
"ACTL6A"	0.00105875840590243	0.000763671577006524	1.38640541010129	0.0121287832486755	0.010575953730047	1.14682642892213	0	0
"ACTR5"	0.00142257841419723	0.00120280890313921	1.18271357194351	0.0163641774326148	0.0157581333756868	1.03845912726333	0	0.018
"ADNP"	0.000754462176650472	0.00044660028758071	1.6893454787893	0.00795748125301965	0.00578660128098004	1.37515630793071	0	0
"AES"	0.00561700052691118	0.0048227288043495	1.1646934245702	0.0148870303567328	0.0141707597241398	1.05054567620484	0.031	0.025
"AGTRAP"	0.0137725355666097	0.00826539122016386	1.66628961651699	0.0124374658703438	0.00747235230651774	1.66446459697775	0	0
"AKAP8L"	0.000139104774504187	5.48153043863626e-05	2.53769957243537	0.00768567441193588	0.00502919203799986	1.52821255459406	0	0
"ANKRA2"	0.00378227993595648	0.0014990417223858	2.52313186449326	0.0112632137214742	0.00599553827882167	1.87859925125652	0.005	0
"ANKRD17"	0.000306911527506487	0.000148257694422989	2.07012208506932	0.00864627112599032	0.00645833364596715	1.33877739986218	0	0.001
"APLP2"	8.14645016313665e-05	3.81677079870336e-05	2.13438285733693	0.00829325520633091	0.00612765222343306	1.35341479965463	0.001	0.001
"APPBP2"	0.00652606753937028	0.00294683561683883	2.21460182647412	0.0119845819501001	0.00808738203225378	1.48188646243045	0	0
"APPL1"	0.000777072929981494	0.000477902031612151	1.62600884403049	0.00897306389092906	0.00689581811305939	1.30123268099774	0	0
"AQP1"	0.000808067161828418	0.00037672793354899	2.14496215933862	0.0106509880350672	0.00797032134785019	1.33633106749706	0	0
"ARID2"	0.000295256906745528	0.000110732049099162	2.66640876916423	0.0124696432400321	0.00746989456205654	1.66931984600851	0	0
"ARL6IP4"	0.00143713869601969	0.000662454842345231	2.1694138289214	0.00945046785038319	0.00684987574110512	1.37965537004887	0	0
"ARNT"	0.00131053865872821	0.000702517460797566	1.86548909010797	0.0110335588442512	0.007728619342059	1.42762353221445	0.001	0
"ARNTL"	0.0137564696230028	0.00270770849545892	5.08048397605343	0.0120218695470846	0.00594726388463214	2.02141182572197	0	0
"ATAD2"	0.000749775201935737	0.000428967498871583	1.74786016168603	0.0140793237420736	0.0104224731639552	1.35086207664848	0	0
"ATF6"	0.000909830053223391	0.000447663189159564	2.0323986319525	0.0128938012246755	0.00980385254282087	1.31517698459442	0	0
"ATF7IP"	0.000574298482580185	0.000244454246344827	2.34930867909768	0.0140241324438083	0.0105287356198872	1.3319863799523	0	0
"ATP2A2"	0.000347228483913958	0.00012758903164351	2.72146029671369	0.00732074788229257	0.00494833590810422	1.4794363232906	0	0
"ATP5O"	0.00192848345866394	0.000964029076585992	2.00044117496276	0.00961287881858704	0.00622131009753096	1.54515345930146	0	0
"ATR"	0.000735431733445461	0.000411685170820061	1.78639354917863	0.0111382668136513	0.0085222603311061	1.30696157837338	0	0
