"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ABL1"	0.000685680154497104	0.000552707195828105	1.24058481538271	0.00998831918201264	0.00856786582994111	1.16578846824464	0.142	0.02
"ACLY"	0.00148741843852021	0.00154890519085218	0.960303088468482	0.00931119749972379	0.00540143851562805	1.72383661737213	0.295	0.01
"ACTB"	0.000300981755326643	0.00024740260791296	1.21656662339038	0.00866930584546648	0.00686575384185604	1.26268812502647	0.212	0.001
"ACTL6A"	0.00109779909113357	0.000773697857934419	1.41889896666435	0.0120583155867228	0.0106581187702373	1.13137372989271	0	0
"ACTN4"	0.000536682565393231	0.0004287278226756	1.25180251200846	0.0163321376040137	0.0141095889144306	1.15752044252048	0.17	0.017
"ACTR5"	0.00104836594818393	0.00125058143882267	0.838302821102864	0.0150302736332163	0.0159099148749104	0.944711128336628	1	0.996
"ADNP"	0.000798422207244966	0.000439217881884557	1.81782718822641	0.0084886334538282	0.00570896143706532	1.48689626780729	0	0
"AES"	0.00494187420750555	0.0049424435563389	0.999884804180998	0.014677672936345	0.0142157048342658	1.03249702406353	0.47	0.103
"AGTRAP"	0.0116638882049969	0.00858581589662231	1.35850667489685	0.0105478401754969	0.00775992441805856	1.3592709937935	0.001	0
"AHCY"	0.000622543578396283	0.000275714250113102	2.25793036863675	0.00852340242005167	0.00597563740984192	1.42635870208818	0.042	0.003
"AKAP8L"	9.15137984404172e-05	5.92423719271784e-05	1.54473555773404	0.00732974531546007	0.00506230172139296	1.44790763547045	0.003	0
"AKT1"	0.0019263736965929	0.0014962307928187	1.28748432784482	0.0194903902306914	0.0179418087461577	1.08631133607783	0.019	0.026
"ANKRA2"	0.00420024166996792	0.00142017636906768	2.95754933080973	0.00821808488208266	0.00610901776293152	1.34523833470392	0.003	0.019
"ANKRD17"	0.00028127453138767	0.000139282752213537	2.01944983795583	0.00883407437583845	0.00625606717633732	1.41208112490417	0.001	0.001
"ANKRD28"	0.00046174040526718	0.000522408682635756	0.88386816799736	0.00944139369257469	0.00966833406912969	0.976527458098536	0.57	0.504
"ANXA1"	0.00386133477770541	0.00267353301925319	1.44428168640461	0.0086779283078638	0.00608106158478119	1.42704167469405	0.062	0
