"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ABL1"	0.000987796576647959	0.000533884560693731	1.85020629808889	0.0113861553891201	0.00854103099982738	1.33311252345885	0	0
"ACLY"	0.00359820153408415	0.0013171064803376	2.73189874000305	0.00995926283803951	0.00515566418985538	1.93171286400615	0.168	0.003
"ACTB"	0.000357671192120474	0.000243338210249368	1.46985215249976	0.00956518880888096	0.00683681536228112	1.39907081031504	0.074	0.001
"ACTL6A"	0.00105875840590243	0.000763671577006524	1.38640541010129	0.0121287832486755	0.010575953730047	1.14682642892213	0	0
"ACTN4"	0.000413531990851387	0.000451226180926012	0.916462759325559	0.0142699043615256	0.0145067947611685	0.983670383186437	0.558	0.586
"ACTR5"	0.00142257841419723	0.00120280890313921	1.18271357194351	0.0163641774326148	0.0157581333756868	1.03845912726333	0	0.018
"ADNP"	0.000754462176650472	0.00044660028758071	1.6893454787893	0.00795748125301965	0.00578660128098004	1.37515630793071	0	0
"AES"	0.00561700052691118	0.0048227288043495	1.1646934245702	0.0148870303567328	0.0141707597241398	1.05054567620484	0.031	0.025
"AGTRAP"	0.0137725355666097	0.00826539122016386	1.66628961651699	0.0124374658703438	0.00747235230651774	1.66446459697775	0	0
"AHCY"	0.000502056309390875	0.00033783716987285	1.48608961405825	0.00761365817891351	0.00643277374727358	1.18357313315122	0.193	0.073
"AKAP8L"	0.000139104774504187	5.48153043863626e-05	2.53769957243537	0.00768567441193588	0.00502919203799986	1.52821255459406	0	0
"AKT1"	0.00142148753698902	0.00159881044332702	0.889090725496512	0.016157863994075	0.0186003723203669	0.868684976611062	0.866	1
"ANKRA2"	0.00378227993595648	0.0014990417223858	2.52313186449326	0.0112632137214742	0.00599553827882167	1.87859925125652	0.005	0
"ANKRD17"	0.000306911527506487	0.000148257694422989	2.07012208506932	0.00864627112599032	0.00645833364596715	1.33877739986218	0	0.001
"ANKRD28"	0.000581939033592713	0.000504887080045817	1.15261225052521	0.0126583589864286	0.00937961875490857	1.34956007458237	0.324	0.046
"ANXA1"	0.00309970000897456	0.00279269450186355	1.10993164734135	0.00844534220043826	0.00619411244418077	1.36344670468042	0.316	0
"APEX1"	0.000114105896193215	8.55717858425542e-05	1.33345231807083	0.00813631450853837	0.00719321778054838	1.13110915820459	0.042	0.061
"APLP2"	8.14645016313665e-05	3.81677079870336e-05	2.13438285733693	0.00829325520633091	0.00612765222343306	1.35341479965463	0.001	0.001
"APP"	0.0216996698218102	0.021808940558671	0.994989635715372	0.0290229528795105	0.0316311215950446	0.917544222777648	0.583	1
"APPBP2"	0.00652606753937028	0.00294683561683883	2.21460182647412	0.0119845819501001	0.00808738203225378	1.48188646243045	0	0
"APPL1"	0.000777072929981494	0.000477902031612151	1.62600884403049	0.00897306389092906	0.00689581811305939	1.30123268099774	0	0
"AQP1"	0.000808067161828418	0.00037672793354899	2.14496215933862	0.0106509880350672	0.00797032134785019	1.33633106749706	0	0
"AR"	0.0116005723237058	0.0107581677456659	1.07830372215373	0.0307805927802859	0.0345233942292995	0.891586515967855	0.032	1
"ARID2"	0.000295256906745528	0.000110732049099162	2.66640876916423	0.0124696432400321	0.00746989456205654	1.66931984600851	0	0
"ARID4B"	0.000300458633318596	0.00022692163323614	1.32406341799035	0.00985765203234692	0.00770073442686145	1.28009245429394	0.144	0.027
"ARIH2"	0.000351284755138291	0.000256042821426675	1.37197658259242	0.00872166525319102	0.00619808302738079	1.40715527924715	0.055	0
"ARL6IP4"	0.00143713869601969	0.000662454842345231	2.1694138289214	0.00945046785038319	0.00684987574110512	1.37965537004887	0	0
"ARNT"	0.00131053865872821	0.000702517460797566	1.86548909010797	0.0110335588442512	0.007728619342059	1.42762353221445	0.001	0
"ARNT2"	0.000107054933367241	0.000105412026127472	1.01558557690355	0.00638627862421312	0.00529890658092669	1.20520687177245	0.449	0.177
"ARNTL"	0.0137564696230028	0.00270770849545892	5.08048397605343	0.0120218695470846	0.00594726388463214	2.02141182572197	0	0
"ARRB1"	0.00528831076497746	0.00501330272184056	1.05485566270292	0.0119989830549384	0.0104626595346161	1.14683871870621	0.254	0.004
"ASAP3"	0.000336449355374428	0.000308129700852848	1.09190822709786	0.00698193496602684	0.00539031547143434	1.29527390428764	0.363	0.07
"ATAD2"	0.000749775201935737	0.000428967498871583	1.74786016168603	0.0140793237420736	0.0104224731639552	1.35086207664848	0	0
"ATF1"	0.00132828941577934	0.000640027070172974	2.07536443016442	0.0113386487096543	0.00864317795116636	1.31186107398427	0.005	0.081
"ATF2"	0.00241463733640769	0.00270593575586308	0.89234836088617	0.0193655435260459	0.0198145462861219	0.977339740532417	0.805	0.651
"ATF3"	0.00216957678064051	0.00312156237482231	0.695029129688304	0.0202173342437543	0.0261624336536447	0.772761988101124	1	1
"ATF4"	0.000732173559653112	0.000788525120361934	0.928535490812319	0.0132123396954715	0.0131495086500672	1.00477820480417	0.582	0.462
"ATF6"	0.000909830053223391	0.000447663189159564	2.0323986319525	0.0128938012246755	0.00980385254282087	1.31517698459442	0	0
"ATF7"	0.00174825931402834	0.00196988967534197	0.887490977749724	0.0192400764724939	0.0208719868951958	0.921813364923224	0.698	0.884
"ATF7IP"	0.000574298482580185	0.000244454246344827	2.34930867909768	0.0140241324438083	0.0105287356198872	1.3319863799523	0	0
"ATM"	0.00107651750300245	0.0010662364405115	1.00964238521619	0.0122923995636296	0.0127374392224432	0.965060507764433	0.414	0.895
"ATP2A2"	0.000347228483913958	0.00012758903164351	2.72146029671369	0.00732074788229257	0.00494833590810422	1.4794363232906	0	0
"ATP5O"	0.00192848345866394	0.000964029076585992	2.00044117496276	0.00961287881858704	0.00622131009753096	1.54515345930146	0	0
"ATR"	0.000735431733445461	0.000411685170820061	1.78639354917863	0.0111382668136513	0.0085222603311061	1.30696157837338	0	0
