"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ACTB"	0.000578995421733322	0.000232533802871588	2.48994087992042	0.0099624643702186	0.00690717771989637	1.44233502802764	0.001	0
"AKAP8L"	8.53430771419262e-05	6.03965444364673e-05	1.41304569554804	0.00648523192206257	0.00517141498898977	1.25405366536431	0.017	0.001
"ARID4B"	0.000458291374093399	0.000219904769688035	2.08404471964636	0.0124491993928651	0.00760217785710585	1.63758328558817	0.011	0.005
"ATP2A2"	0.000306455087466041	0.000142814138886986	2.14583156719903	0.00738839015655625	0.00510553038817968	1.44713469410776	0	0
"ATP5O"	0.00147065881647394	0.000979702835939349	1.50112744653215	0.00761860480752236	0.00632824404211846	1.20390502591489	0.006	0.001
"BIRC2"	0.000222624501715919	0.000169187350068542	1.31584602291914	0.00940146570901778	0.00815087814728552	1.15342979481895	0.009	0.003
"CALM1"	0.000169896939998353	0.0001202634113726	1.41270680799149	0.00751325564992221	0.00653189161557214	1.15024193481877	0.022	0.009
"CALR"	0.00102168178476947	0.000798624949135091	1.27930111108594	0.00932714322025581	0.00830037126308547	1.12370193147103	0.033	0.037
"CCNA2"	0.000191750920417353	0.000142248579903947	1.34799883799776	0.0114783816444859	0.00937992801440876	1.22371745570474	0.014	0
"CCT4"	0.000277884728255234	0.000143820814405234	1.93215932898459	0.00719692175649003	0.00634028841527162	1.13510952264491	0	0.046
"CCT5"	0.000277884728255234	0.000143820814405234	1.93215932898459	0.00719692175649003	0.00634028841527162	1.13510952264491	0	0.046
"CHCHD2"	0.000111782537555189	6.58561476018566e-05	1.69737437772685	0.00828753116697672	0.00708961018394997	1.16896852604657	0	0.005
"CLU"	0.00504002960500386	0.00403388995850993	1.24942168895097	0.00814366774992209	0.00755143023305726	1.07842719836995	0.041	0.038
"CYC1"	0.000306455087466041	0.000142814138886986	2.14583156719903	0.00738839015655625	0.00510553038817968	1.44713469410776	0	0
"DPF2"	0.00316161067078553	0.00147432802563422	2.14444181743441	0.0101724927280667	0.00703996664123043	1.44496320032118	0.003	0.004
"E2F3"	0.00314926989961417	0.00163314649514022	1.92834501312987	0.00731409664418466	0.00626977932288836	1.16656364881678	0	0.002
"ELF1"	0.000842423617344175	0.00055727473143071	1.51168457823557	0.0100824945167905	0.00854482364314772	1.17995349440311	0.002	0.001
"ERCC3"	0.000256495720863898	0.000107165397289899	2.39345653868138	0.00814605098770159	0.00616740946672084	1.32082214285551	0	0
"EXOSC1"	0.000111782537555189	6.58561476018566e-05	1.69737437772685	0.00828753116697672	0.00708961018394997	1.16896852604657	0	0.005
"EYA2"	0.00572478369846038	0.00442544896118591	1.29360517964855	0.00833913364155462	0.00712676032590787	1.1701156290102	0.012	0.011
"HAT1"	0.000111782537555189	6.58561476018566e-05	1.69737437772685	0.00828753116697672	0.00708961018394997	1.16896852604657	0	0.005
"HSPH1"	0.000306455087466041	0.000142814138886986	2.14583156719903	0.00738839015655625	0.00510553038817968	1.44713469410776	0	0
"IPO4"	0.00024151165086037	0.00018102845587451	1.33410877142866	0.00833117499784167	0.00553219817530596	1.5059429785125	0.042	0
"LMNA"	0.000226889631671765	0.000167393251590805	1.35542878530372	0.00874219827441363	0.00587194644760029	1.48880756192631	0.035	0
"MAD2L1BP"	0.00147610431196108	0.00106686075120163	1.3835960412814	0.00793469654574667	0.00691420632350838	1.14759325575354	0.001	0
