"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ABL1"	0.000472294560337304	0.000613166926404351	0.770254460896756	0.00798684393123248	0.00910421068009722	0.87726923418991	0.867	0.951
"ACLY"	0.000233237051612169	0.00187321071923728	0.124511913804944	0.00448194900511384	0.00592454281706379	0.756505462700851	0.932	0.813
"ACTB"	0.000170381099622593	0.000278855154157895	0.611002153204308	0.00624624897548602	0.00734859650680789	0.849992099811082	0.968	0.974
"ACTL6A"	0.0007489962203518	0.000818750895615651	0.914803543254264	0.0100538332261871	0.0109759149903477	0.915990442257296	0.857	0.999
"ACTN4"	0.000245265052101625	0.000495085483076107	0.495399401690641	0.0123858935825612	0.0149814098360727	0.826750867781358	1	0.998
"ACTR5"	0.000823636439437596	0.00131435337634433	0.626647638497655	0.0130191310318676	0.016377790029769	0.794925994789497	1	1
"ADNP"	0.00052370963242225	0.000462284852750087	1.13287214432131	0.0058625237235687	0.00603754419685192	0.971011313942102	0.214	0.638
"AES"	0.00347184010345	0.00520569522988815	0.666931111048657	0.0133684687251931	0.0144416351369614	0.925689411095722	1	0.993
"AGTRAP"	0.00753326210046712	0.00911958987616551	0.826052728550399	0.00687579385347942	0.00823239169470895	0.83521218480148	0.986	0.995
"AHCY"	0.000239140819477458	0.000374380271589353	0.638764479929019	0.00580264700493714	0.00667143374723977	0.869775107537854	0.715	0.831
"AKAP8L"	8.25894574136307e-05	5.86234348440688e-05	1.40881300512856	0.00567511659064563	0.00518668776691773	1.0941696985971	0.022	0.11
"AKT1"	0.00106571128503003	0.00167823898919874	0.635017593971431	0.0164096372528217	0.0185932696458844	0.882557912908768	1	0.998
"ANKRA2"	0.000953645518782955	0.00169860778362011	0.561427733923675	0.0076862604575596	0.00606275729069286	1.26778297217324	0.797	0.054
"ANKRD17"	0.000139637804401484	0.000161816126626814	0.862941211808395	0.00643087176186566	0.00662170669977523	0.971180400074794	0.727	0.617
"ANKRD28"	0.000268424291665802	0.000558214766472864	0.480862040540182	0.00725772518979459	0.010089163940156	0.719358435728065	0.926	0.907
"ANXA1"	0.00172987287670322	0.00306455755773804	0.564477202373072	0.00561867065433211	0.00657926971736122	0.853996096178532	0.966	0.965
"APEX1"	7.70301509186293e-05	9.20246208406963e-05	0.837060236868307	0.00688840279049983	0.00741658052118992	0.928784197895374	0.816	0.803
"APLP2"	2.56093583347153e-05	4.82821316515053e-05	0.530410681109952	0.00554302555114174	0.0066154900477311	0.837885857457048	0.98	0.959
"APP"	0.0188642156296353	0.0222773906779184	0.846787485229756	0.0301336380773154	0.0313182871380528	0.962173887239895	1	0.99
"APPBP2"	0.00226588729998406	0.00350839387536572	0.645847467667199	0.00781228617178094	0.00862870390189087	0.905383503780791	0.993	0.988
"APPL1"	0.000500855073945281	0.000509634121963147	0.982773822160791	0.00706936571460936	0.00711335146899906	0.993816451417957	0.588	0.55
"AQP1"	0.000348051368877667	0.000443025631533261	0.785623548852243	0.00764443432730198	0.00841175517383681	0.908779935854357	0.926	0.92
"AR"	0.00852560492459604	0.0112991767854999	0.75453328029497	0.0322496224272909	0.0340523182367013	0.947060996056724	1	0.998
"ARID2"	8.20251714175675e-05	0.000142310373423305	0.57638223724972	0.00703836528070258	0.00826040287183586	0.852060775958052	1	0.992
"ARID4B"	0.000193326244073208	0.000244092647372235	0.792019940602267	0.00736413955917009	0.00799762005331126	0.920791374194015	0.715	0.666
"ARIH2"	0.000261956285196621	0.000263068904013819	0.995770618266842	0.00565771078635984	0.00660039214637738	0.857177976836584	0.467	0.92
"ARL6IP4"	0.000502240419274312	0.000783116214729193	0.641335742802862	0.00687153610159998	0.0071177799599352	0.965404401411495	0.956	0.619
"ARNT"	0.000545276514748429	0.000809660691180921	0.673462995904027	0.00755788910256741	0.0081115918140119	0.931739327601762	0.974	0.856
"ARNT2"	0.000149934600059468	9.32271897285583e-05	1.60827115454215	0.00561674985453374	0.00533143589862322	1.05351540585609	0.103	0.331
"ARNTL"	0.00238115795398724	0.0034599399103565	0.688207892530103	0.00530836487182672	0.00649110722632039	0.817790353285517	0.673	0.829
"ARRB1"	0.00377615453041206	0.00538209431303684	0.701614336498196	0.00925833834983924	0.0109989984075854	0.841743766728274	0.996	0.999
"ASAP3"	0.000301020488026842	0.000313265627714875	0.960911320602406	0.00546015002221052	0.00553329297235819	0.986781298132402	0.488	0.486
"ATAD2"	0.000495764476957594	0.000457214131173847	1.08431573557181	0.0103708199779132	0.0109048823383342	0.951025389926158	0.255	0.87
"ATF1"	0.000464532540898307	0.000758720497178517	0.61225779799779	0.00611663572157661	0.00977949263486483	0.625455322679033	0.893	0.979
"ATF2"	0.00171838197335546	0.00288016410318479	0.596626411479587	0.0158532066447003	0.0206220978459211	0.768748493152746	1	1
