"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ABL1"	0.000318809416574486	0.00064535815304108	0.494003856730066	0.00740025286407354	0.00918110562348762	0.806030686014743	1	0.998
"ACLY"	0.00063625596177346	0.00210232051651346	0.302644604747825	0.00500729240655762	0.00602137570997081	0.831586110507277	0.749	0.762
"ACTB"	0.000176146649261851	0.000278148480156916	0.633282803351932	0.00548459198682369	0.00759105585631693	0.722507130843947	0.962	1
"ACTL6A"	0.000632442202172542	0.000862123518105655	0.733586532428913	0.00984097792520848	0.0111087673982821	0.885874874536517	1	1
"ACTN4"	0.000190698198036842	0.000501319257728191	0.380392723991936	0.0116606074414859	0.0150800286215885	0.773248362724761	1	1
"ACTR5"	0.000946106627987379	0.00133340341856037	0.709542674645953	0.0152127935416195	0.0160651329196124	0.946944766516537	1	0.996
"ADNP"	0.000369953163855502	0.00051405038004039	0.719682696910824	0.00527045633229503	0.00625363668906411	0.842782623031428	0.98	0.997
"AES"	0.00452717316189927	0.00506161283451209	0.894413166299723	0.0135600646789993	0.014485031126851	0.936143288906222	0.902	0.987
"AGTRAP"	0.00677876355798214	0.00967829839116032	0.700408613581653	0.00595348596257443	0.00881145881365084	0.675652702745566	1	1
"AHCY"	0.000142506942034219	0.000388740046312842	0.36658672906453	0.00474966894407194	0.0068624694901631	0.692122413204209	0.995	0.999
"AKAP8L"	5.32008263387627e-05	6.60281042489644e-05	0.80573002880962	0.00495474777341946	0.00539340646692949	0.918667599744292	0.918	0.863
"AKT1"	0.000838839596075716	0.00169494771037906	0.494905884670694	0.0156840715027428	0.0186386643896928	0.841480439522055	1	1
"ANKRA2"	0.000867571514635147	0.00211062319100269	0.41104992986597	0.00567237876501625	0.00664452052930175	0.853692714169753	0.924	0.857
"ANKRD17"	9.17343427442335e-05	0.000178476235024698	0.513986317178525	0.00538815433432333	0.00696916155748365	0.773142405995367	1	0.996
"ANKRD28"	0.000203098450282856	0.000558358759969974	0.363741853524028	0.00570506518944942	0.0102324581212315	0.55754591143763	0.992	0.999
"ANXA1"	0.00216055026958299	0.00299582874100129	0.721186174634559	0.00553624799239727	0.00663341274819893	0.834600258200493	0.891	0.987
"APEX1"	4.32466045792904e-05	9.49791229232581e-05	0.455327478800085	0.00533468590227732	0.00758324209284545	0.703483528148262	1	1
"APLP2"	2.18529033791701e-05	4.81076132456437e-05	0.454250417030384	0.0049173573360766	0.00675391900774247	0.728074667528512	1	1
"APP"	0.021667946622016	0.0218159913371206	0.993213935923564	0.0336030832263987	0.0305946740531996	1.09833113985682	0.592	0
"APPBP2"	0.00179428088726259	0.00400464699234754	0.44804970093276	0.00726161009230835	0.00905699146246142	0.801768459471956	1	1
"APPL1"	0.000318823413420948	0.000587212372485351	0.542943964330215	0.00599776221730789	0.00756863135860403	0.792450039264975	1	1
"AQP1"	0.000302108592238836	0.000470536807589729	0.642050924318446	0.00725762527228287	0.00863942956232533	0.840058388106061	0.999	0.997
"AR"	0.00975007569459938	0.0111697677002138	0.872898699085098	0.0355406273742694	0.0334347557498919	1.06298450750263	1	0
"ARID2"	6.83507194360862e-05	0.000154947600094666	0.441121510719282	0.00661144864724953	0.00856811992590106	0.771633532726754	1	1
"ARID4B"	0.000134636822986282	0.000267164927879947	0.503946472520457	0.00606171680633878	0.00849282425300473	0.713745701754532	0.985	0.985
"ARIH2"	0.000158728692451502	0.000277573226244364	0.571844390754616	0.0049487440453786	0.00657996887421706	0.752092318364871	0.989	0.996
"ARL6IP4"	0.000537365380257892	0.000784106643080397	0.685321805394772	0.00593041570217716	0.00740589424228831	0.800769698858777	0.962	0.999
"ARNT"	0.000459099186035587	0.000861073082713755	0.533170987750182	0.0067912468862729	0.00844313407468026	0.804351420480087	1	1
"ARNT2"	6.34862885867707e-05	0.000117240609582085	0.54150425192323	0.00476669680930395	0.00556756174452038	0.856155176724417	0.844	0.71
"ARNTL"	0.00154594304680058	0.00379761293890672	0.407082836421352	0.00470887965765429	0.00675262131655905	0.69734099350529	0.952	0.975
"ARRB1"	0.00366459251657889	0.0054405282952395	0.673572917502411	0.00886675880110344	0.0111402288433231	0.79592250085758	0.998	1
"ASAP3"	0.000478555353018093	0.000305819790350132	1.56482794154753	0.00872093023255814	0.00542934908556011	1.60625704759937	0.068	0.01
"ATAD2"	0.000302180380716628	0.000527538492553511	0.572812003260552	0.00937240744816538	0.0113894345407741	0.822903666956617	1	1
"ATF1"	0.000353485238056788	0.000732997525759813	0.482246154501506	0.00619315537800923	0.00922260531157616	0.671519073925415	0.985	0.973
"ATF2"	0.00168015128689134	0.00291804471398467	0.575779829157261	0.016735063225852	0.0205171497781835	0.815662185380492	1	0.999
"ATF3"	0.0021627502257815	0.00309721569720651	0.698288539520241	0.0237476276653196	0.0254139646888352	0.934432228740461	1	0.962
"ATF4"	0.000519252481981716	0.000856672057395072	0.606127487758425	0.0111842571870976	0.0136961421861794	0.816599085717986	0.997	0.997
