"all_genes"	"mean_bet_in"	"mean_bet_out"	"ratio_bet"	"mean_deg_in"	"mean_deg_out"	"ratio_deg"	"pvalue_ratio"	"pvalue_degree"
"ABL1"	0.00040471694190307	0.000577651686162023	0.700624531353922	0.00908822076388345	0.00878079521889664	1.03501112795857	0.927	0.33
"ACLY"	0.000655337013621925	0.00156337678106104	0.419180469839879	0.00638977635782748	0.00562064135460944	1.13684114582178	0.579	0.267
"ACTB"	0.000578995421733322	0.000232533802871588	2.48994087992042	0.0099624643702186	0.00690717771989637	1.44233502802764	0.001	0
"ACTL6A"	0.000764328097130185	0.000810116580533889	0.943479142997508	0.0101620150707113	0.0108738985557096	0.934532818993005	0.729	0.977
"ACTN4"	0.000218940140789165	0.000464973565475565	0.470865780434717	0.0112190515432842	0.0147406046774968	0.761098461612733	1	1
"ACTR5"	0.0012454660621819	0.00123660654153046	1.00716438119474	0.0159304122897527	0.0158411783851259	1.00563303451658	0.429	0.398
"ADNP"	0.000493859098100957	0.000475857750133722	1.03782926297234	0.00586315289423046	0.00600179160297535	0.976900446080773	0.404	0.6
"AES"	0.00413389454350596	0.00505522951678732	0.817746163607052	0.012367810230519	0.0145454031167356	0.850289959739164	0.985	1
"AGTRAP"	0.00807551796086414	0.00903110362126277	0.894189492173604	0.00765348108626092	0.008107760770188	0.94396977207351	0.879	0.761
"AHCY"	0.000371719310637007	0.000341524842340225	1.08841075246498	0.00753289603255789	0.00641751199129678	1.17380318771103	0.298	0.131
"AKAP8L"	8.53430771419262e-05	6.03965444364673e-05	1.41304569554804	0.00648523192206257	0.00517141498898977	1.25405366536431	0.017	0.001
"AKT1"	0.00096760243210102	0.00162857456758515	0.594140699087413	0.0147130820252401	0.0185462449195423	0.793318652323893	1	1
"ANKRA2"	0.00294120665577362	0.00149775312239379	1.96374596840955	0.00701698879041214	0.00618880182265719	1.13382024364118	0.06	0.213
"ANKRD17"	0.00016469614047667	0.000156591834209015	1.05175433513882	0.00692582029704228	0.00655148098344274	1.05713812106691	0.378	0.283
"ANKRD28"	0.00069659586519497	0.000495640561368215	1.40544563841187	0.0146395894060857	0.00921984210816203	1.58783515317749	0.185	0.018
"ANXA1"	0.00441297045599588	0.00267454825196461	1.64998722784467	0.00685955681826847	0.00636223080230573	1.07816849646236	0.037	0.188
"APEX1"	7.89237387196527e-05	8.75199227542566e-05	0.901780260264389	0.00634296505123631	0.00726777648443987	0.87275180583999	0.659	0.922
"APLP2"	4.77568642677449e-05	4.12404676835272e-05	1.15800976444359	0.00698736467576545	0.0062570835973606	1.11671269322866	0.292	0.147
"APP"	0.0205746949277873	0.0219680353856673	0.936574189115287	0.0288549941135983	0.0314874482878463	0.916396713059021	0.983	1
"APPBP2"	0.00434706862983506	0.00319180637069051	1.36194622260079	0.00860673966526692	0.00850893496005688	1.01149435336727	0.043	0.414
"APPL1"	0.000557727619249689	0.000501937434117756	1.11114967989983	0.00780515237265699	0.00701789446576547	1.11217864713297	0.109	0
"AQP1"	0.000548083341365822	0.000413617261644992	1.32509784332029	0.00857484295763182	0.00825153227134475	1.03918189684719	0.055	0.258
"AR"	0.00991445101679151	0.0110678849703994	0.895785513068422	0.0321401094475251	0.0340511915745433	0.943876204072491	0.986	0.998
"ARID2"	0.000144477169632651	0.000131224245225278	1.10099447998059	0.00872172671594165	0.00798061237281758	1.09286434530367	0.271	0.114
"ARID4B"	0.000458291374093399	0.000219904769688035	2.08404471964636	0.0124491993928651	0.00760217785710585	1.63758328558817	0.011	0.005
